Date,symbol,sector,score,close,return_rate
2004-02-11,SU,Energy Minerals,0.9537270483805632,12.829999923706055,
2004-02-11,GGG,Producer Manufacturing,0.9527531038554632,9.322221755981445,
2004-02-11,CWT,Utilities,0.9341805987997436,14.244999885559082,
2004-02-11,BLL,Process Industries,0.9228617858037828,8.012499809265137,
2004-02-11,APA,Energy Minerals,0.9121169589405737,39.5099983215332,
2004-02-11,MATX,Transportation,0.8669457111769054,16.30299949645996,
2004-02-11,ROST,Retail Trade,0.8647885710921392,7.525000095367432,
2004-02-11,AXL,Producer Manufacturing,0.8614778885262705,40.58000183105469,
2004-02-11,BRO,Finance,0.8601050987037795,8.8125,
2004-02-11,GFF,Producer Manufacturing,0.8537495640761625,22.600000381469727,
2004-02-11,HUBB,Producer Manufacturing,0.8500253453969924,39.47999954223633,
2004-02-11,HTLD,Transportation,0.841196180134259,11.279999732971191,
2004-02-11,HGTXU,Miscellaneous,0.8347751273365439,19.559999465942383,
2004-02-11,SHW,Process Industries,0.8323032821503219,11.776666641235352,
2004-02-11,FRK,Non-Energy Minerals,0.8287465667213327,45.7400016784668,
2004-02-11,SM,Energy Minerals,0.8273696884117278,14.725000381469727,
2004-02-11,KSWS,Distribution Services,0.8266173241722224,23.549999237060547,
2004-02-11,CRK,Energy Minerals,0.8229617954103624,97.5,
2004-02-11,COKE,Consumer Non-Durables,0.8067271083336184,52.459999084472656,
2004-02-11,JBHT,Transportation,0.8052300772814623,14.029999732971191,
2004-02-11,DLX,Commercial Services,0.7991904408974928,39.13999938964844,
2004-02-11,TTC,Producer Manufacturing,0.7978637558991294,6.34375,
2004-02-11,PCAR,Producer Manufacturing,0.7952581707718037,24.39555549621582,
2004-02-11,SSP,Consumer Services,0.7913582625822781,132.4179229736328,
2004-02-11,LII,Producer Manufacturing,0.7816603376228503,18.520000457763672,
2004-02-11,MGEE,Utilities,0.7772905374100227,20.833332061767578,
2004-02-11,CAA,Consumer Durables,0.77381089902996,122.9000015258789,
2004-02-11,NJR,Utilities,0.7683259677237528,12.933333396911621,
2004-02-11,SR,Utilities,0.76089849188817,29.979999542236328,
2004-02-11,RCI,Health Services,0.757159066995856,9.925000190734863,
2004-02-11,AOS,Producer Manufacturing,0.7531756113532556,5.335000038146973,
2004-02-11,ESRX,Retail Trade,0.751687881316717,8.822500228881836,
2004-02-11,SSD,Producer Manufacturing,0.7488845632819424,23.03499984741211,
2004-02-11,ESE,Electronic Technology,0.7477271791951464,22.690000534057617,
2004-02-11,SJT,Miscellaneous,0.7389449943508569,19.3799991607666,
2004-02-11,MSA,Consumer Durables,0.7374661696234709,25.40999984741211,
2004-02-11,MIDD,Producer Manufacturing,0.7374591122869543,7.0,
2004-02-11,AWR,Utilities,0.7254995343286235,12.725000381469727,
2004-02-11,IFF,Consumer Non-Durables,0.7231315002817417,37.06999969482422,
2004-02-11,NL,Producer Manufacturing,0.7094193210644568,14.199999809265137,
2004-02-11,DHI,Consumer Durables,0.7088288811255016,22.837499618530273,
2004-02-11,CRAI,Commercial Services,0.7071757346511817,36.310001373291016,
2004-02-11,BYD,Consumer Services,0.6888162929660583,20.969999313354492,
2004-02-11,FCFS,Finance,0.6869237833916004,10.616666793823242,
2004-02-11,SWN,Energy Minerals,0.6860015978759929,2.7562499046325684,
2004-02-11,KNX,Transportation,0.6797288311179227,10.751111030578613,
2004-02-11,CHH,Consumer Services,0.6791795594466459,20.594999313354492,
2004-02-11,ATO,Utilities,0.6724104500118582,26.18000030517578,
2004-02-11,AEE,Utilities,0.670126898242303,46.34000015258789,
2004-02-11,ARLP,Energy Minerals,0.6696209419838026,9.024999618530273,
2004-02-11,SYK,Health Technology,0.6686066839329452,45.095001220703125,
2004-02-11,JOE,Finance,0.6656635419496006,39.88999938964844,
2004-02-11,MTH,Consumer Durables,0.6573686126467891,35.08000183105469,
2004-02-11,IGT,Technology Services,0.6569060515327302,37.58000183105469,
2004-02-25,GGG,Producer Manufacturing,0.9532497662107408,9.435556411743164,0.01700609192312652
2004-02-25,SU,Energy Minerals,0.9405023741403996,12.989999771118164,0.03259140301261021
2004-02-25,CWT,Utilities,0.9348702684442802,14.725000381469727,0.0030654002287779925
2004-02-25,BLL,Process Industries,0.9218954040196708,8.071249961853027,0.007803964451093881
2004-02-25,APA,Energy Minerals,0.9073344078111044,41.16999816894531,0.06492494390687953
2004-02-25,ROST,Retail Trade,0.890755467170076,8.012499809265137,0.04499508175199707
2004-02-25,MATX,Transportation,0.8682156567292828,16.279024124145508,-0.00875914426369484
2004-02-25,AXL,Producer Manufacturing,0.8639378167790455,38.0099983215332,-0.03331641361796489
2004-02-25,BRO,Finance,0.8538386052585076,9.225000381469727,-0.006194439418797604
2004-02-25,HUBB,Producer Manufacturing,0.8433408361120861,39.70000076293945,0.01794873751126813
2004-02-25,FRK,Non-Energy Minerals,0.8417172436169652,45.0,0.005137358496418054
2004-02-25,GFF,Producer Manufacturing,0.8382739459731676,22.479999542236328,-0.01919723091592429
